,Euclidean + NCM,NCMML
FOLD 1,0.7757009345794392,0.7768691588785047
FOLD 2,0.7751168224299065,0.7850467289719626
FOLD 3,0.7704439252336449,0.7774532710280374
FOLD 4,0.7710280373831776,0.7751168224299065
FOLD 5,0.7734967892586107,0.7799182720373613
FOLD 6,0.7694103911266783,0.7822533566841798
FOLD 7,0.7664915353181553,0.7781669585522475
FOLD 8,0.7682428488032691,0.7752481027437245
FOLD 9,0.7775831873905429,0.7857559836544075
FOLD 10,0.76487747957993,0.7742123687281214
MEAN,0.7712391951103356,0.7790041023708454
