,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.9121212121212121,0.9717171717171718
FOLD 2,0.9101010101010101,0.9777777777777777
FOLD 3,0.9040404040404041,0.9666666666666667
FOLD 4,0.9111111111111111,0.9737373737373738
FOLD 5,0.906060606060606,0.9767676767676767
FOLD 6,0.902020202020202,0.9828282828282828
FOLD 7,0.906060606060606,0.9747474747474747
FOLD 8,0.9101010101010101,0.9757575757575757
FOLD 9,0.9141414141414141,0.9777777777777777
FOLD 10,0.9040404040404041,0.9818181818181818
MEAN,0.9079797979797981,0.9759595959595961
