,Euclidean + NCM,NCMML
FOLD 1,0.569811320754717,0.6226415094339622
FOLD 2,0.5660377358490566,0.6452830188679245
FOLD 3,0.5584905660377358,0.6264150943396226
FOLD 4,0.575187969924812,0.6127819548872181
FOLD 5,0.5842696629213483,0.6254681647940075
FOLD 6,0.587360594795539,0.6282527881040892
FOLD 7,0.5762081784386617,0.6431226765799256
FOLD 8,0.5762081784386617,0.6505576208178439
FOLD 9,0.5687732342007435,0.6171003717472119
FOLD 10,0.5799256505576208,0.6245353159851301
MEAN,0.5742273091918896,0.6296158515556936
