,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.8861985472154964,0.9418886198547215
FOLD 2,0.8813559322033898,0.9322033898305084
FOLD 3,0.8743961352657005,0.9492753623188406
FOLD 4,0.8743961352657005,0.9420289855072463
FOLD 5,0.8743961352657005,0.9347826086956522
FOLD 6,0.8792270531400966,0.9323671497584541
FOLD 7,0.8816425120772947,0.9444444444444444
FOLD 8,0.8913043478260869,0.9420289855072463
FOLD 9,0.8795180722891566,0.9373493975903614
FOLD 10,0.8939759036144578,0.944578313253012
MEAN,0.8816410774163081,0.9400947256760487
