,Euclidean + NCM,NCMML
FOLD 1,0.9032258064516129,0.8169975186104218
FOLD 2,0.9076827757125155,0.8048327137546468
FOLD 3,0.905940594059406,0.719059405940594
FOLD 4,0.9047619047619048,0.7761286332714904
FOLD 5,0.9048207663782447,0.7793572311495673
FOLD 6,0.9110012360939431,0.8720642768850433
FOLD 7,0.9023485784919654,0.7991347342398022
FOLD 8,0.9085855466337245,0.7516985793699815
FOLD 9,0.9055555555555556,0.9358024691358025
FOLD 10,0.9123997532387416,0.7927205428747687
MEAN,0.9066322517377614,0.8047796105232118
