,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.9647749510763209,0.9784735812133072
FOLD 2,0.9706457925636007,0.9804305283757339
FOLD 3,0.97265625,0.982421875
FOLD 4,0.96875,0.984375
FOLD 5,0.966796875,0.98046875
FOLD 6,0.970703125,0.9765625
FOLD 7,0.970703125,0.98046875
FOLD 8,0.9707602339181286,0.9824561403508771
FOLD 9,0.9727095516569201,0.9844054580896686
FOLD 10,0.9746588693957114,0.9805068226120858
MEAN,0.9703158773610682,0.981056940564167
