,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.5908838243468594,0.7320733740967204
FOLD 2,0.5874514158800667,0.7245974458634092
FOLD 3,0.5810210876803552,0.730299667036626
FOLD 4,0.5921198668146503,0.7125416204217536
FOLD 5,0.5963455149501661,0.7203765227021041
FOLD 6,0.5892758430071863,0.7352128247650636
FOLD 7,0.5956977385548814,0.7275234418091561
FOLD 8,0.5897577092511013,0.723568281938326
FOLD 9,0.5794392523364486,0.7240241891148983
FOLD 10,0.5935271530444323,0.7207899067471202
MEAN,0.5895519405866148,0.7251007274495177
