,Euclidean + NCM,NCMML
FOLD 1,0.5967741935483871,0.6741935483870968
FOLD 2,0.5967741935483871,0.667741935483871
FOLD 3,0.5903225806451613,0.6451612903225806
FOLD 4,0.6064516129032258,0.6774193548387096
FOLD 5,0.6096774193548387,0.6548387096774193
FOLD 6,0.5980707395498392,0.6527331189710611
FOLD 7,0.6045016077170418,0.6720257234726688
FOLD 8,0.6045016077170418,0.6688102893890675
FOLD 9,0.5819935691318328,0.6559485530546624
FOLD 10,0.6077170418006431,0.6591639871382636
MEAN,0.5996784565916399,0.66280365107354
