,Euclidean + NCM,NCMML
FOLD 1,0.7797979797979798,0.7898989898989899
FOLD 2,0.7513513513513513,0.7828009828009828
FOLD 3,0.7513513513513513,0.7832923832923833
FOLD 4,0.75049115913556,0.7824165029469549
FOLD 5,0.7514734774066798,0.7833988212180747
FOLD 6,0.7509823182711198,0.7833988212180747
FOLD 7,0.7514734774066798,0.7829076620825147
FOLD 8,0.7509823182711198,0.7824165029469549
FOLD 9,0.7511045655375552,0.7776141384388807
FOLD 10,0.7511045655375552,0.7776141384388807
MEAN,0.7540112564066952,0.7825758943282691
