,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.978978978978979,0.9864864864864865
FOLD 2,0.9819954988747187,0.9872468117029257
FOLD 3,0.9759939984996249,0.9842460615153789
FOLD 4,0.9774943735933983,0.9842460615153789
FOLD 5,0.9804951237809453,0.9849962490622656
FOLD 6,0.9842460615153789,0.9857464366091523
FOLD 7,0.9789947486871718,0.981245311327832
FOLD 8,0.9797449362340586,0.9849962490622656
FOLD 9,0.9819954988747187,0.9834958739684921
FOLD 10,0.9797449362340586,0.9849962490622656
MEAN,0.9799684155273052,0.9847701790312442
