,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.9111111111111111,0.9047619047619048
FOLD 2,0.9015873015873016,0.8952380952380953
FOLD 3,0.9238095238095239,0.8952380952380953
FOLD 4,0.9047619047619048,0.8857142857142857
FOLD 5,0.9015873015873016,0.9079365079365079
FOLD 6,0.9272151898734177,0.879746835443038
FOLD 7,0.9305993690851735,0.9085173501577287
FOLD 8,0.9242902208201893,0.9369085173501577
FOLD 9,0.9369085173501577,0.9116719242902208
FOLD 10,0.9242902208201893,0.8927444794952681
MEAN,0.9186160660806271,0.9018477995625304
