,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.9641693811074918,0.9706840390879479
FOLD 2,0.9446254071661238,0.9478827361563518
FOLD 3,0.9609120521172638,0.9690553745928339
FOLD 4,0.9641693811074918,0.9755700325732899
FOLD 5,0.9626016260162602,0.9739837398373984
FOLD 6,0.9609756097560975,0.9707317073170731
FOLD 7,0.9609756097560975,0.9723577235772358
FOLD 8,0.9414634146341463,0.9495934959349593
FOLD 9,0.9626016260162602,0.9512195121951219
FOLD 10,0.9642857142857143,0.974025974025974
MEAN,0.9586779821962945,0.9655104335298186
