,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.8333333333333334,0.8978494623655914,0.8817204301075269,0.9623655913978496,0.967741935483871,1.0
FOLD 2,0.8074866310160428,0.9037433155080212,0.8449197860962567,0.9251336898395722,0.9465240641711228,0.9946524064171124
FOLD 3,0.8342245989304813,0.8663101604278075,0.8502673796791443,0.9572192513368984,0.9732620320855616,1.0
FOLD 4,0.8288770053475936,0.9251336898395722,0.8716577540106952,0.9358288770053476,0.9572192513368984,0.9946524064171124
FOLD 5,0.8074866310160428,0.9037433155080212,0.8609625668449198,0.9251336898395722,0.9411764705882352,1.0
FOLD 6,0.8342245989304813,0.8983957219251337,0.893048128342246,0.93048128342246,0.9411764705882352,0.9946524064171124
FOLD 7,0.8556149732620321,0.9090909090909092,0.8877005347593583,0.9572192513368984,0.9625668449197858,0.9946524064171124
FOLD 8,0.8404255319148937,0.9148936170212766,0.8776595744680851,0.9308510638297872,0.946808510638298,1.0
FOLD 9,0.7925531914893617,0.9202127659574468,0.8457446808510638,0.9574468085106383,0.9627659574468084,1.0
FOLD 10,0.8297872340425532,0.8776595744680851,0.8829787234042553,0.9361702127659576,0.9574468085106383,0.9946808510638298
MEAN,0.8264013729282815,0.9017032532111864,0.8696659558563551,0.9417849719284982,0.9556688345769455,0.9973290476732279
