,Euclidean + NCM,NCMML
FOLD 1,0.45526315789473687,0.7881578947368421
FOLD 2,0.4697368421052632,0.7973684210526316
FOLD 3,0.4533508541392904,0.7989487516425755
FOLD 4,0.4454664914586071,0.8015768725361366
FOLD 5,0.4480946123521682,0.7910643889618922
FOLD 6,0.4664914586070959,0.7989487516425755
FOLD 7,0.4454664914586071,0.8055190538764783
FOLD 8,0.4435695538057743,0.8057742782152231
FOLD 9,0.4534731323722149,0.799475753604194
FOLD 10,0.46465968586387435,0.8115183246073299
MEAN,0.4545572280057632,0.799835249087588
