,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.630188679245283,0.6452830188679245
FOLD 2,0.6377358490566037,0.6943396226415094
FOLD 3,0.6188679245283019,0.6528301886792452
FOLD 4,0.6127819548872181,0.6052631578947368
FOLD 5,0.6441947565543071,0.6741573033707865
FOLD 6,0.587360594795539,0.6022304832713755
FOLD 7,0.6431226765799256,0.6505576208178439
FOLD 8,0.6282527881040892,0.6468401486988847
FOLD 9,0.5985130111524164,0.5836431226765799
FOLD 10,0.6022304832713755,0.6802973977695167
MEAN,0.6203248718175061,0.6435442064688403
