,Euclidean + NCM,NCMML
FOLD 1,0.7395079594790159,0.7742402315484804
FOLD 2,0.7409551374819102,0.7655571635311144
FOLD 3,0.7322720694645442,0.7670043415340086
FOLD 4,0.7308248914616498,0.7771345875542692
FOLD 5,0.7250361794500724,0.768451519536903
FOLD 6,0.7322720694645442,0.7756874095513748
FOLD 7,0.7351664254703328,0.7626628075253257
FOLD 8,0.7395079594790159,0.7742402315484804
FOLD 9,0.7355491329479769,0.7817919075144508
FOLD 10,0.726878612716763,0.7702312138728323
MEAN,0.7337970437415825,0.7717001413717239
