,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.8910411622276029,0.9491525423728814,0.9200968523002422,0.9249394673123488,0.9515738498789347,0.9612590799031476
FOLD 2,0.8910411622276029,0.9249394673123488,0.9200968523002422,0.9176755447941888,0.9443099273607748,0.946731234866828
FOLD 3,0.8840579710144928,0.9347826086956522,0.9227053140096618,0.9347826086956522,0.9492753623188406,0.9516908212560388
FOLD 4,0.8623188405797102,0.92512077294686,0.9178743961352656,0.92512077294686,0.9492753623188406,0.9371980676328504
FOLD 5,0.8864734299516909,0.9130434782608696,0.8985507246376812,0.9009661835748792,0.9420289855072463,0.9371980676328504
FOLD 6,0.8623188405797102,0.9106280193236715,0.9009661835748792,0.9082125603864736,0.9396135265700483,0.9299516908212561
FOLD 7,0.8888888888888888,0.9347826086956522,0.9130434782608696,0.9347826086956522,0.9516908212560387,0.9541062801932368
FOLD 8,0.8768115942028986,0.929951690821256,0.9009661835748792,0.9202898550724636,0.9444444444444444,0.9396135265700484
FOLD 9,0.8674698795180723,0.927710843373494,0.8987951807228916,0.910843373493976,0.9421686746987952,0.944578313253012
FOLD 10,0.8987951807228916,0.9204819277108434,0.9132530120481928,0.9060240963855422,0.9566265060240964,0.9542168674698795
MEAN,0.8809216949913562,0.9270593959513528,0.9106348177564806,0.9183637071358037,0.9471007460378061,0.945654394959915
