,Euclidean + NCM,NCMML
FOLD 1,0.7597864768683275,0.6850533807829181
FOLD 2,0.7153024911032029,0.6797153024911032
FOLD 3,0.7597864768683275,0.6832740213523132
FOLD 4,0.7704626334519573,0.6832740213523132
FOLD 5,0.7686832740213523,0.6797153024911032
FOLD 6,0.6921708185053381,0.6921708185053381
FOLD 7,0.7651245551601423,0.697508896797153
FOLD 8,0.7651245551601423,0.6921708185053381
FOLD 9,0.7588652482269503,0.6861702127659575
FOLD 10,0.7415929203539823,0.6867256637168142
MEAN,0.7496899449719722,0.6865778438760352
