,Euclidean + NCM,NCMML
FOLD 1,0.7906574394463668,0.8494809688581315
FOLD 2,0.7821953327571305,0.8487467588591184
FOLD 3,0.7913793103448276,0.8474137931034482
FOLD 4,0.7870689655172414,0.8525862068965517
FOLD 5,0.7905172413793103,0.8491379310344828
FOLD 6,0.7838070628768303,0.8458225667527993
FOLD 7,0.7846683893195521,0.8561584840654608
FOLD 8,0.7874354561101549,0.8399311531841652
FOLD 9,0.7900172117039587,0.8442340791738382
FOLD 10,0.7805507745266781,0.8450946643717728
MEAN,0.7868297183982051,0.847860660629977
