,Euclidean + NCM,NCMML
FOLD 1,0.9657980456026058,0.9690553745928339
FOLD 2,0.9625407166123778,0.9690553745928339
FOLD 3,0.9625407166123778,0.9657980456026058
FOLD 4,0.9674267100977199,0.9690553745928339
FOLD 5,0.9658536585365853,0.967479674796748
FOLD 6,0.9642276422764228,0.9691056910569106
FOLD 7,0.9642276422764228,0.967479674796748
FOLD 8,0.9642276422764228,0.9658536585365853
FOLD 9,0.9658536585365853,0.9691056910569106
FOLD 10,0.9659090909090909,0.9691558441558441
MEAN,0.9648605523736611,0.9681144403780856
