,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.8157439446366782,0.8399653979238755
FOLD 2,0.8202247191011236,0.8357821953327571
FOLD 3,0.8146551724137931,0.8387931034482758
FOLD 4,0.8293103448275863,0.8405172413793104
FOLD 5,0.8267241379310345,0.843103448275862
FOLD 6,0.8217054263565892,0.830318690783807
FOLD 7,0.8389319552110249,0.8492678725236865
FOLD 8,0.8227194492254734,0.842512908777969
FOLD 9,0.8270223752151463,0.8218588640275387
FOLD 10,0.8278829604130808,0.8201376936316696
MEAN,0.8244920485331528,0.8362257416104752
