,Euclidean + NCM,NCMML
FOLD 1,0.9378238341968912,0.9792746113989638
FOLD 2,0.9378238341968912,0.9844559585492227
FOLD 3,0.9326424870466321,0.9740932642487047
FOLD 4,0.9430051813471503,0.9792746113989638
FOLD 5,0.9326424870466321,0.9792746113989638
FOLD 6,0.9381443298969072,0.979381443298969
FOLD 7,0.9381443298969072,0.979381443298969
FOLD 8,0.9329896907216495,0.979381443298969
FOLD 9,0.9329896907216495,0.979381443298969
FOLD 10,0.9329896907216495,0.9845360824742269
MEAN,0.935919555579296,0.9798434912664922
