,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.7067901234567902,0.6975308641975309
FOLD 2,0.7623456790123457,0.7088477366255144
FOLD 3,0.7170781893004116,0.7026748971193416
FOLD 4,0.7129629629629629,0.7181069958847737
FOLD 5,0.7153134635149023,0.7091469681397738
FOLD 6,0.71120246659815,0.6957862281603289
FOLD 7,0.7214799588900308,0.710174717368962
FOLD 8,0.7217659137577002,0.7176591375770021
FOLD 9,0.7145790554414785,0.7166324435318275
FOLD 10,0.7238193018480493,0.7145790554414785
MEAN,0.7207337114782821,0.7091139044046534
