,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.7963917525773195,0.8376288659793815
FOLD 2,0.8118556701030928,0.8556701030927835
FOLD 3,0.8092783505154639,0.8298969072164949
FOLD 4,0.788659793814433,0.9742268041237113
FOLD 5,0.8071979434447301,0.8329048843187661
FOLD 6,0.7917737789203085,0.8483290488431876
FOLD 7,0.8149100257069408,0.8406169665809768
FOLD 8,0.7994858611825193,0.8354755784061697
FOLD 9,0.7974358974358975,0.7564102564102564
FOLD 10,0.9102564102564102,0.8461538461538461
MEAN,0.8127245483957115,0.8457313261125574
