,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.864406779661017,0.9418886198547215,0.9007263922518159,0.9176755447941889,0.0,0.0
FOLD 2,0.847457627118644,0.9200968523002422,0.8789346246973365,0.8983050847457628,0.0,0.0
FOLD 3,0.857487922705314,0.9347826086956522,0.9130434782608695,0.8913043478260869,0.0,0.0
FOLD 4,0.8357487922705314,0.9154589371980676,0.8961352657004831,0.8888888888888888,0.0,0.0
FOLD 5,0.8454106280193237,0.9033816425120773,0.8840579710144928,0.8599033816425121,0.0,0.0
FOLD 6,0.8285024154589372,0.9130434782608695,0.8816425120772947,0.855072463768116,0.0,0.0
FOLD 7,0.857487922705314,0.9251207729468599,0.9202898550724637,0.9251207729468599,0.0,0.0
FOLD 8,0.8429951690821256,0.9154589371980676,0.8985507246376812,0.8985507246376812,0.0,0.0
FOLD 9,0.8457831325301205,0.9228915662650602,0.8867469879518072,0.8843373493975903,0.0,0.0
FOLD 10,0.8626506024096385,0.9228915662650602,0.9132530120481928,0.8674698795180723,0.0,0.0
MEAN,0.8487930991960966,0.9215014981496678,0.8973380823712438,0.888662843816576,0.0,0.0
