,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.8692493946731235,0.927360774818402
FOLD 2,0.8450363196125908,0.927360774818402
FOLD 3,0.8789346246973365,0.9128329297820823
FOLD 4,0.8595641646489104,0.9128329297820823
FOLD 5,0.8547215496368039,0.9297820823244553
FOLD 6,0.8450363196125908,0.927360774818402
FOLD 7,0.8714285714285714,0.9333333333333333
FOLD 8,0.8523809523809524,0.9285714285714286
FOLD 9,0.8523809523809524,0.919047619047619
FOLD 10,0.8523809523809524,0.9238095238095239
MEAN,0.8581113801452785,0.9242292171105732
